Track name, Artist name, Album, Playlist name, Type
Up in the Sky (Remastered Acoustic),Oasis,Definitely Maybe (Remastered),Favourites 2019/02/20,Playlist track
Some Kind of Nature (feat. Lou Reed),Gorillaz,Plastic Beach,Favourites 2019/02/20,Playlist track
Ride,Twenty One Pilots,Blurryface,Favourites 2019/02/20,Playlist track
Dani California,Red Hot Chili Peppers,Stadium Arcadium,Favourites 2019/02/20,Playlist track
Humility (feat. George Benson),Gorillaz,The Now Now,Favourites 2019/02/20,Playlist track
Bubblegum Bitch,Marina,Electra Heart (Deluxe),Favourites 2019/02/20,Playlist track
Gravity,Cat Dealers & Evokings,Gravity,Favourites 2019/02/20,Playlist track
Here Comes Your Man,Pixies,Death To The Pixies,Favourites 2019/02/20,Playlist track
My Demons,Starset,Transmissions,Favourites 2019/02/20,Playlist track
I Always Wanna Die (Sometimes),The 1975,A Brief Inquiry Into Online Relationships,Favourites 2019/02/20,Playlist track
Generation Why,Conan Gray,Sunset Season,Favourites 2019/02/20,Playlist track
Weak,AJR,The Click,Favourites 2019/02/20,Playlist track
Don’t Feel Like Crying,Sigrid,Don't Feel Like Crying,Favourites 2019/02/20,Playlist track
Hollywood (feat. Snoop Dogg & Jamie Principle),Gorillaz,The Now Now,Favourites 2019/02/20,Playlist track
Souk Eye,Gorillaz,The Now Now,Favourites 2019/02/20,Playlist track
Waiting,Jake Bugg,Hearts That Strain,Favourites 2019/02/20,Playlist track
Are You Bored Yet? (feat. Clairo),Wallows,Are You Bored Yet? (feat. Clairo),Favourites 2019/02/20,Playlist track
Demon Days,Gorillaz,Demon Days,Favourites 2019/02/20,Playlist track
I Sat By The Ocean,Queens of the Stone Age,...Like Clockwork,Favourites 2019/02/20,Playlist track
Pompeii,Bastille,Pompeii,Favourites 2019/02/20,Playlist track
Boca de Lobo,Criolo,Boca de Lobo,Favourites 2019/02/20,Playlist track
Girls and Boys,Blur,Blur: The Best Of,Favourites 2019/02/20,Playlist track
Talking in Your Sleep,Will Jay,Will Jay,Favourites 2019/02/20,Playlist track
Otherside,Red Hot Chili Peppers,Californication (Deluxe Version),Favourites 2019/02/20,Playlist track
Snap Out Of It,Arctic Monkeys,AM,Favourites 2019/02/20,Playlist track
girls,girl in red,chapter 1,Favourites 2019/02/20,Playlist track
Hallucinating,Elohim,Elohim,Favourites 2019/02/20,Playlist track
Sweater Weather,"Kurt Hugo Schneider, Alyson Stoner & MAX",Sweater Weather,Favourites 2019/02/20,Playlist track
"Love, Hope And Misery",Jake Bugg,On My One,Favourites 2019/02/20,Playlist track
Chala Vahi Des,Shye Ben Tzur,Junun,Favourites 2019/02/20,Playlist track
Fin,Beirut,Gallipoli,Favourites 2019/02/20,Playlist track
Mexican Dress,Blood Red Shoes,Get Tragic,Favourites 2019/02/20,Playlist track
High Five (Acoustic),Sigrid,High Five (Remixes),Favourites 2019/02/20,Playlist track
Don't Kill My Vibe (Guitar Acoustic),Sigrid,Don't Kill My Vibe (Acoustic Versions),Favourites 2019/02/20,Playlist track
Snow (Hey Oh),Red Hot Chili Peppers,Stadium Arcadium,Favourites 2019/02/20,Playlist track
Chasing Shadows,The Sherlocks,Live for the Moment,Favourites 2019/02/20,Playlist track
Maybe Tomorrow,Stereophonics,Decade In The Sun - Best Of Stereophonics,Favourites 2019/02/20,Playlist track
Dream On,Aerosmith,The Essential Aerosmith,Favourites 2019/02/20,Playlist track
Under Pressure,Queen,Best Of Bowie,Favourites 2019/02/20,Playlist track
Better Now,Post Malone,beerbongs & bentleys,Favourites 2019/02/20,Playlist track
2 e 1,Supercombo,2 e 1,Favourites 2019/02/20,Playlist track
Eu Quero Ser Como Você,Jão,LOBOS,Favourites 2019/02/20,Playlist track
Elevate,DJ Khalil,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Favourites 2019/02/20,Playlist track
Golden Trunks,Arctic Monkeys,Tranquility Base Hotel & Casino,Favourites 2019/02/20,Playlist track
R.I.P. 2 My Youth,The Neighbourhood,Wiped Out!,Favourites 2019/02/20,Playlist track
Me Desculpa Jay Z,Baco Exu do Blues,Bluesman,Favourites 2019/02/20,Playlist track
Bluesman,Baco Exu do Blues,Bluesman,Favourites 2019/02/20,Playlist track
Girassóis de Van Gogh,Baco Exu do Blues,Bluesman,Favourites 2019/02/20,Playlist track
The Only Exception,Paramore,brand new eyes,Favourites 2019/02/20,Playlist track
bury a friend,Billie Eilish,bury a friend,Favourites 2019/02/20,Playlist track
Saudade,Luiz Lins,Saudade,Favourites 2019/02/20,Playlist track
